sample_id,product,angular_frequency,storage_modulus,loss_modulus,tan_delta,temperature
cheese_rheo_4e15653d79b9,plant_cheddar,0.317731,437591,33611.8,0.0768111,25
cheese_rheo_2d5fd8e35091,dairy_feta,40.0,1965780,623719.0,0.317288,25
cheese_rheo_8a12f8c4da2d,plant_mozzarella,0.633961,387932,69490.1,0.179129,25
cheese_rheo_887f199562ea,dairy_cheddar,0.252383,381489,144999.0,0.380088,25
cheese_rheo_8c9adf1d7529,plant_cheddar,63.0957,455190,60189.8,0.13223,25
cheese_rheo_c8b760392806,plant_feta,0.633961,283058,65850.1,0.232638,25
cheese_rheo_1bc1642eb7eb,plant_feta,4.00003,320439,148516.0,0.463476,25
cheese_rheo_b383986cc83e,plant_cheddar,25.2383,486973,50098.7,0.102878,25
cheese_rheo_caf5fd7a2800,plant_feta,0.252383,133252,119604.0,0.897577,25
cheese_rheo_e594cc002175,plant_mozzarella,1.59243,376489,73860.5,0.196183,25
cheese_rheo_80ff05481ad9,plant_feta,40.0,529688,445065.0,0.84024,25
cheese_rheo_43f61c34f7b2,dairy_mozzarella,1.26491,248506,81505.5,0.327982,25
cheese_rheo_f999dd55b81a,plant_mozzarella,0.252383,569412,79906.2,0.140331,25
cheese_rheo_4e15653d79b9,plant_cheddar,40.0,516617,61325.1,0.118705,25
cheese_rheo_8c9adf1d7529,plant_cheddar,79.4327,446979,61093.6,0.136681,25
cheese_rheo_f999dd55b81a,plant_mozzarella,3.17733,612265,84043.4,0.137266,25
cheese_rheo_ea72985b5acd,plant_mozzarella,0.503572,415993,54786.3,0.1317,25
cheese_rheo_0ce8e929e697,dairy_mozzarella,2.00475,221072,71143.3,0.321811,25
cheese_rheo_43f61c34f7b2,dairy_mozzarella,0.159243,181101,67435.2,0.372362,25
cheese_rheo_b383986cc83e,plant_cheddar,10.0476,473836,44375.8,0.0936522,25
cheese_rheo_2fb28bc39b10,dairy_cheddar,4.00003,462603,167015.0,0.361034,25
cheese_rheo_8f07b1ed90e6,plant_mozzarella,1.26491,447987,66495.7,0.148432,25
cheese_rheo_4e2a0a130dcc,dairy_feta,1.26491,1092660,312623.0,0.286111,25
cheese_rheo_6c53f905caa7,plant_feta,15.9242,436538,357004.0,0.817807,25
cheese_rheo_43f61c34f7b2,dairy_mozzarella,1.00476,239945,79184.1,0.33001,25
cheese_rheo_ea0a03a926f1,plant_cheddar,7.98103,469404,38431.0,0.0818721,25
cheese_rheo_ea72985b5acd,plant_mozzarella,0.126491,400183,55305.1,0.138199,25
cheese_rheo_8c9adf1d7529,plant_cheddar,2.51189,401735,54206.6,0.134931,25
cheese_rheo_0ce8e929e697,dairy_mozzarella,7.98103,271850,88215.5,0.3245,25
cheese_rheo_8f07b1ed90e6,plant_mozzarella,2.00475,455074,68130.9,0.149714,25
cheese_rheo_6c53f905caa7,plant_feta,1.00476,279819,262148.0,0.936848,25
cheese_rheo_3d3025531656,dairy_mozzarella,10.0476,369198,119688.0,0.324185,25
cheese_rheo_ea0a03a926f1,plant_cheddar,0.1,428134,34643.4,0.080917,25
cheese_rheo_2fb28bc39b10,dairy_cheddar,40.0,587580,238161.0,0.405326,25
cheese_rheo_2d5fd8e35091,dairy_feta,0.317731,890278,253155.0,0.284355,25
cheese_rheo_4e2a0a130dcc,dairy_feta,0.200475,797253,225201.0,0.282472,25
cheese_rheo_80ff05481ad9,plant_feta,0.159243,274712,243196.0,0.885278,25
cheese_rheo_ea0a03a926f1,plant_cheddar,1.26491,448902,33044.5,0.0736118,25
cheese_rheo_8c9adf1d7529,plant_cheddar,19.9526,446822,57635.2,0.128989,25
cheese_rheo_ba444256711d,dairy_feta,12.6492,2029610,615538.0,0.30328,25
cheese_rheo_efba4e3bce95,dairy_cheddar,5.03577,834046,278132.0,0.333473,25
cheese_rheo_7236086d1bf4,dairy_cheddar,31.7731,810900,302338.0,0.372843,25
cheese_rheo_4e2a0a130dcc,dairy_feta,10.0476,1523880,456553.0,0.299598,25
cheese_rheo_ba444256711d,dairy_feta,5.03577,1745670,517766.0,0.296599,25
cheese_rheo_8c9adf1d7529,plant_cheddar,63.0957,455190,60189.8,0.13223,25
cheese_rheo_8a12f8c4da2d,plant_mozzarella,4.00003,412456,74894.0,0.181581,25
cheese_rheo_e594cc002175,plant_mozzarella,20.0475,423229,81675.1,0.192981,25
cheese_rheo_1bc1642eb7eb,plant_feta,5.03577,330397,151339.0,0.458054,25
cheese_rheo_9bbee09cb4be,dairy_mozzarella,2.52384,265649,83694.3,0.315056,25
cheese_rheo_8c9adf1d7529,plant_cheddar,1.5849,393895,53182.7,0.135017,25
cheese_rheo_882c53b17985,dairy_mozzarella,25.2383,355337,122154.0,0.343769,25
cheese_rheo_ea0a03a926f1,plant_cheddar,25.2383,480694,43539.2,0.0905758,25
cheese_rheo_7236086d1bf4,dairy_cheddar,1.59243,550515,192348.0,0.349397,25
cheese_rheo_8a12f8c4da2d,plant_mozzarella,15.9242,436965,81567.6,0.186669,25
cheese_rheo_f999dd55b81a,plant_mozzarella,40.0,659645,93607.1,0.141905,25
cheese_rheo_4e15653d79b9,plant_cheddar,4.00003,469255,39767.7,0.0847464,25
cheese_rheo_b383986cc83e,plant_cheddar,2.00475,448703,37117.7,0.0827223,25
cheese_rheo_9bbee09cb4be,dairy_mozzarella,0.159243,164976,59384.1,0.359955,25
cheese_rheo_2fb28bc39b10,dairy_cheddar,0.4,347965,129416.0,0.371924,25
cheese_rheo_43f61c34f7b2,dairy_mozzarella,20.0475,367380,125151.0,0.340659,25
cheese_rheo_ffe0014387aa,plant_cheddar,50.119,355680,60656.2,0.170536,25
cheese_rheo_ba444256711d,dairy_feta,0.252383,1078710,312644.0,0.289832,25
